,Application mode,Course,Tuition fees up to date,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target_Graduate
1364,1,12,1,0,19,7,7,6,13,7,7,6,13,1
1365,12,14,0,0,26,5,5,0,0,5,5,0,0,0
1366,16,7,1,0,20,9,12,9,13,7,9,6,13,0
1367,1,12,1,0,19,8,8,7,12,8,8,7,12,1
1368,1,9,1,0,21,5,8,3,10,5,10,4,11,0
1369,17,14,1,1,23,6,7,5,13,6,7,6,12,1
1370,12,3,1,0,29,6,11,6,12,6,6,6,14,1
1371,1,12,1,0,20,8,8,7,15,8,8,7,15,1
1372,1,10,1,0,18,6,8,6,12,6,7,6,11,1
1373,1,15,1,0,19,6,8,5,12,6,8,5,12,1
1374,4,13,0,0,23,7,7,3,13,8,8,3,11,0
1375,1,2,1,0,21,0,0,0,0,0,0,0,0,0
1376,8,9,1,0,18,5,6,5,12,5,7,4,12,0
1377,1,2,1,1,18,0,0,0,0,0,0,0,0,1
1378,1,5,0,0,21,6,6,1,14,6,7,0,0,0
1379,16,10,1,0,22,6,6,0,0,6,7,0,0,0
1380,9,13,1,0,21,7,8,7,12,7,11,5,12,1
1381,12,12,0,0,32,7,0,0,0,8,0,0,0,0
1382,4,4,1,0,27,18,21,18,11,13,16,13,11,1
1383,1,12,1,0,18,7,7,6,13,7,7,6,13,1
1384,12,5,1,1,24,6,6,6,15,6,6,2,16,1
1385,1,8,1,0,22,5,9,2,10,5,5,0,0,0
1386,14,8,0,0,22,6,0,0,0,4,6,0,0,0
1387,1,9,1,0,19,5,8,5,13,5,6,5,11,1
1388,8,7,1,0,19,5,10,0,0,5,5,0,0,0
1389,1,6,1,0,21,5,7,4,11,5,15,3,10,0
1390,1,12,1,1,18,8,8,8,13,8,8,8,13,1
1391,1,11,1,0,18,6,8,6,11,6,8,5,12,1
1392,1,2,1,0,20,0,0,0,0,0,0,0,0,0
1393,8,10,1,0,19,6,7,6,12,6,7,6,13,1
1394,8,15,1,0,19,6,6,5,11,6,6,6,12,1
1395,8,11,1,1,18,6,9,5,11,6,6,6,11,1
1396,1,8,1,0,20,6,11,6,13,6,10,6,13,0
1397,15,5,1,1,22,7,7,7,13,9,9,9,13,1
1398,12,13,1,0,31,7,13,6,11,7,8,7,12,1
1399,8,16,1,1,19,7,7,7,14,7,7,7,14,1
1400,1,2,1,0,18,0,0,0,0,0,0,0,0,0
1401,1,11,1,1,18,6,8,6,12,6,9,5,12,1
1402,1,6,1,0,21,5,7,5,14,5,5,5,13,1
1403,8,12,1,1,18,7,8,7,13,8,9,8,15,1
1404,15,9,0,0,25,5,6,0,0,5,5,0,0,0
1405,6,7,1,0,21,5,5,0,0,6,8,0,0,0
1406,9,12,1,1,19,8,8,7,12,8,8,7,12,1
1407,1,15,1,0,19,6,6,5,12,6,7,5,10,0
1408,8,11,1,0,22,6,10,4,10,6,14,1,11,0
1409,6,9,1,0,19,5,5,5,10,5,8,5,11,1
1410,12,3,1,0,58,6,6,0,0,6,6,0,0,0
1411,7,10,1,1,19,6,8,4,11,6,6,6,12,1
1412,14,14,1,0,23,9,11,6,10,10,10,10,11,1
1413,1,15,1,1,19,6,11,4,11,6,11,3,11,0
1414,9,12,1,0,18,7,7,7,13,8,8,8,14,1
1415,1,6,1,0,20,5,6,5,12,5,8,4,12,1
1416,8,6,0,0,18,6,0,0,0,6,0,0,0,0
1417,8,14,1,0,18,6,6,6,13,6,8,5,13,1
1418,8,9,1,1,18,5,5,5,11,5,5,5,11,1
1419,12,8,1,0,24,6,9,6,12,6,10,5,12,0
1420,8,16,1,0,18,6,7,5,11,6,7,5,11,0
1421,1,9,1,1,19,5,5,5,11,5,11,3,12,0
1422,8,10,1,1,19,6,8,6,11,6,6,6,11,1
1423,1,11,1,0,18,6,6,6,10,6,6,6,11,1
1424,1,8,1,0,18,5,10,4,13,5,5,5,13,0
1425,1,2,1,1,19,0,0,0,0,0,0,0,0,1
1426,15,6,1,0,22,6,9,6,13,6,9,4,11,1
1427,1,11,1,0,19,6,9,5,13,6,16,2,13,0
1428,8,10,1,1,21,6,8,3,10,6,13,4,12,0
1429,8,15,1,1,21,6,6,5,13,6,7,6,12,1
1430,1,12,1,1,18,8,11,7,12,8,11,7,12,1
1431,1,16,1,0,20,6,12,4,12,6,11,1,10,0
1432,1,11,1,1,18,6,9,6,10,6,8,5,11,0
1433,7,5,1,0,19,6,6,6,15,6,9,6,15,1
1434,1,12,1,1,18,7,9,6,12,8,11,6,12,0
1435,6,9,0,0,26,7,7,6,13,6,6,2,14,0
1436,6,7,1,0,19,6,11,2,13,5,11,2,11,0
1437,12,3,1,0,35,6,7,6,12,6,6,6,12,1
1438,9,14,1,1,19,6,7,6,13,6,6,6,14,1
1439,1,6,1,0,18,5,6,4,11,5,10,5,12,1
1440,1,14,1,0,19,5,5,4,12,5,5,4,14,1
1441,1,2,1,0,25,17,19,17,11,17,22,17,12,1
1442,8,11,1,0,18,6,6,6,14,6,6,6,14,1
1443,8,4,0,0,26,6,8,0,0,6,10,0,0,0
1444,14,17,1,0,34,5,5,5,13,5,6,5,13,1
1445,1,11,0,0,18,5,6,0,0,5,5,0,0,0
1446,1,2,0,0,18,0,0,0,0,0,0,0,0,0
1447,8,7,1,1,18,5,9,4,12,5,9,3,12,0
1448,15,4,1,0,20,6,12,3,11,6,12,3,13,0
1449,15,5,1,0,25,7,9,6,12,9,9,9,12,1
1450,8,8,1,0,18,6,9,6,12,6,10,5,12,0
1451,1,4,1,0,19,12,17,11,12,12,21,12,12,1
1452,1,2,1,0,20,0,0,0,0,0,0,0,0,0
1453,9,10,1,1,20,7,9,6,12,6,6,6,11,1
1454,1,7,1,0,20,5,9,4,11,5,7,4,12,0
1455,1,9,1,1,19,5,5,0,0,5,5,0,0,0
1456,1,9,1,0,20,5,9,5,12,5,9,4,13,0
1457,1,12,1,0,18,7,8,6,13,8,12,6,12,0
1458,1,14,1,0,19,6,10,4,12,6,12,1,10,0
1459,9,9,0,0,20,5,5,0,0,5,0,0,0,0
1460,12,14,1,0,24,6,15,4,10,6,16,4,12,0
1461,15,4,1,0,20,6,8,5,12,6,11,6,12,1
1462,1,14,1,0,19,5,7,3,11,5,5,4,12,0
1463,16,7,1,0,23,5,7,2,13,5,11,1,10,0
1464,8,11,1,0,20,6,8,6,11,6,9,5,10,0
1465,14,3,1,0,21,11,11,11,12,11,17,8,12,1
1466,8,7,1,0,20,5,6,3,11,5,6,0,0,0
1467,8,7,1,0,21,5,10,4,13,5,7,4,14,0
1468,1,15,1,1,18,6,6,6,15,6,6,6,14,1
1469,1,11,1,0,18,6,8,6,12,6,6,6,13,1
1470,8,9,1,0,18,5,13,5,12,5,9,4,11,0
1471,15,4,1,0,20,6,12,4,11,6,11,5,11,0
1472,8,15,1,1,18,6,7,6,11,6,8,6,12,1
1473,8,15,1,0,19,6,12,0,0,6,0,0,0,0
1474,8,7,1,0,20,5,7,4,12,5,8,2,12,0
1475,8,8,1,0,19,5,11,4,12,5,9,5,12,1
1476,12,17,1,0,33,5,11,2,12,5,9,2,11,0
1477,16,2,1,0,21,12,12,12,13,11,16,11,13,1
1478,12,4,0,0,25,6,17,2,14,6,13,0,0,0
1479,1,6,1,1,20,6,10,4,13,6,8,0,0,0
1480,17,6,1,1,22,7,11,5,12,8,14,5,14,0
1481,12,15,1,0,39,6,10,4,11,6,6,6,11,1
1482,1,14,1,1,21,6,8,6,15,6,7,6,14,1
1483,8,11,1,1,19,6,8,6,11,6,7,4,13,1
1484,12,12,1,1,26,7,8,6,10,7,8,6,10,1
1485,9,10,1,1,19,6,8,4,10,6,11,5,11,1
1486,17,6,0,1,20,12,15,11,13,9,13,7,14,1
1487,8,14,1,1,25,6,8,6,11,6,10,5,12,0
1488,14,3,1,0,24,6,13,0,0,6,6,0,0,0
1489,8,7,1,0,20,5,7,4,13,5,9,5,14,1
1490,12,4,1,0,29,6,9,6,16,6,7,6,13,1
1491,1,15,1,0,20,6,8,6,11,6,8,6,11,1
1492,15,8,1,0,20,6,15,4,10,6,12,2,10,0
1493,12,14,1,1,24,6,10,4,11,6,8,5,13,1
1494,12,12,1,0,24,7,21,0,0,7,7,0,0,0
1495,4,7,1,0,23,5,5,5,13,5,7,5,14,1
1496,14,13,1,0,20,7,8,7,13,8,8,8,14,1
1497,8,14,1,0,19,6,8,6,13,6,8,5,13,1
1498,12,4,1,0,28,6,12,5,12,6,10,6,12,0
1499,15,4,1,1,20,6,9,6,13,6,9,5,12,1
1500,1,5,1,0,18,6,6,6,14,6,7,6,13,1
1501,1,14,1,0,20,6,10,1,12,6,0,0,0,0
1502,12,17,1,0,33,5,5,5,14,5,6,5,13,1
1503,12,12,1,0,35,7,11,5,13,7,9,5,10,0
1504,12,12,1,0,27,8,12,7,12,8,12,7,12,0
1505,8,15,0,0,19,6,12,3,11,6,12,3,12,0
1506,12,17,1,1,31,5,13,4,10,5,10,4,10,0
1507,1,2,1,0,19,0,0,0,0,0,0,0,0,1
1508,14,5,1,0,22,13,13,13,14,12,13,12,13,1
1509,14,12,1,0,39,7,0,0,0,8,0,0,0,0
1510,8,11,0,0,22,1,1,0,0,6,0,0,0,0
1511,12,17,1,0,47,5,8,4,10,5,8,4,12,0
1512,8,2,1,1,19,0,0,0,0,0,0,0,0,1
1513,5,11,1,0,19,6,6,6,13,6,6,6,14,1
1514,8,12,1,0,19,7,0,0,0,8,0,0,0,0
1515,1,2,1,1,21,17,18,17,13,17,18,17,14,1
1516,4,12,0,0,39,7,0,0,0,8,0,0,0,0
1517,8,2,1,0,19,12,12,12,13,11,12,11,13,1
1518,1,2,1,1,20,0,0,0,0,0,0,0,0,0
1519,12,9,0,0,24,5,5,0,0,5,5,0,0,0
1520,12,17,1,0,27,5,9,1,10,5,5,0,0,0
1521,12,17,1,0,29,5,5,5,15,5,5,5,15,1
1522,8,6,1,0,20,6,12,4,12,6,17,0,0,0
1523,1,14,1,0,21,5,7,5,11,5,5,4,11,0
1524,1,2,1,0,18,0,0,0,0,0,0,0,0,0
1525,1,12,1,0,19,8,9,7,12,8,9,7,12,1
1526,8,15,0,0,19,6,6,6,12,6,10,4,12,0
1527,12,7,1,1,28,5,12,3,10,5,10,3,12,1
1528,6,11,0,0,21,6,6,6,11,6,10,4,13,1
1529,5,12,0,0,23,8,11,7,11,8,11,7,11,0
1530,12,4,1,0,39,6,15,2,13,6,13,3,13,0
1531,8,12,1,0,18,7,7,6,13,7,7,6,13,1
1532,6,15,1,0,59,6,8,6,12,6,7,4,11,1
1533,4,7,1,0,30,5,6,4,14,5,10,3,16,0
1534,1,6,1,0,18,5,7,5,14,5,5,5,13,1
1535,15,17,1,0,41,6,10,4,12,7,9,6,12,0
1536,12,12,1,0,27,7,14,0,0,7,14,0,0,0
1537,1,10,1,1,18,6,6,6,12,6,6,6,12,1
1538,9,16,0,0,20,6,14,2,12,6,14,3,11,0
1539,12,7,0,0,32,5,6,0,0,5,5,0,0,0
1540,8,9,1,0,19,5,5,3,11,5,10,4,10,0
1541,12,16,1,0,41,6,0,0,0,6,0,0,0,0
1542,8,3,1,0,38,5,12,1,10,5,10,0,0,0
1543,4,8,1,0,35,7,8,0,0,6,9,0,0,0
1544,12,3,1,0,27,6,11,4,12,6,16,3,12,0
1545,8,5,1,0,19,6,10,4,12,6,6,6,12,1
1546,9,15,0,0,18,6,7,5,12,6,6,5,11,0
1547,12,17,0,0,39,5,5,0,0,5,5,0,0,0
1548,4,11,0,0,37,5,5,0,0,5,10,0,0,0
1549,12,12,0,0,37,8,8,0,0,8,8,0,0,0
1550,14,3,1,1,35,16,16,16,12,13,13,13,12,1
1551,14,9,1,0,49,13,22,10,10,9,18,6,10,1
1552,4,9,1,0,52,15,26,14,10,12,16,12,10,1
1553,1,6,1,0,18,5,10,5,14,5,8,5,13,1
1554,12,3,1,1,30,7,7,6,14,6,7,6,14,1
1555,1,12,1,0,21,7,7,7,12,8,8,8,14,1
1556,1,7,1,0,20,5,5,0,0,5,0,0,0,0
1557,8,9,1,0,18,5,9,0,0,5,5,0,0,0
1558,7,2,1,0,19,0,0,0,0,0,0,0,0,0
1559,1,12,1,0,18,8,8,8,13,8,8,8,13,1
1560,6,1,1,0,20,7,10,7,12,7,7,4,12,0
1561,8,8,1,0,21,6,12,5,13,6,10,4,14,0
1562,1,9,1,1,22,5,6,3,14,5,8,5,12,1
1563,15,8,0,0,20,6,11,3,12,6,11,2,11,0
1564,8,6,1,0,20,6,9,6,13,6,8,4,14,0
1565,8,10,1,1,19,6,8,6,13,6,7,6,12,1
1566,8,12,1,1,18,7,8,7,14,8,9,8,15,1
1567,1,9,1,0,21,5,9,4,10,5,6,5,11,1
1568,6,13,1,0,19,7,11,0,0,7,11,2,11,0
1569,14,8,1,0,37,6,0,0,0,6,0,0,0,0
1570,1,3,1,0,45,12,14,12,14,7,12,7,13,0
1571,12,4,0,0,38,6,8,0,0,6,10,0,0,0
1572,12,17,0,0,55,5,5,0,0,5,5,0,0,0
1573,12,4,0,0,28,6,17,5,13,6,11,4,11,0
1574,4,17,1,0,46,8,12,8,12,9,11,5,12,1
1575,1,2,1,0,22,0,0,0,0,0,0,0,0,1
1576,12,14,1,0,46,6,10,5,11,6,9,4,13,0
1577,12,17,1,0,28,5,9,4,11,5,7,4,13,0
1578,1,6,0,0,18,5,7,3,13,5,8,3,12,0
1579,7,2,1,1,18,0,0,0,0,0,0,0,0,0
1580,1,15,1,1,21,6,6,6,13,6,6,6,14,1
1581,7,5,1,0,18,6,11,1,11,6,11,4,11,0
1582,14,17,1,0,34,5,9,0,0,5,10,1,11,0
1583,8,16,1,1,21,6,9,5,12,6,8,5,11,0
1584,1,15,1,1,18,6,8,5,13,6,7,6,13,1
1585,1,2,1,0,20,0,0,0,0,0,0,0,0,1
1586,1,9,1,0,18,5,8,4,12,5,8,4,12,0
1587,8,7,1,0,21,5,10,5,11,5,10,3,10,0
1588,8,11,1,0,19,6,13,2,10,6,11,1,12,0
1589,8,3,1,0,22,6,7,6,12,6,6,6,12,1
1590,15,4,1,0,23,6,6,1,11,6,8,0,0,0
1591,8,2,1,0,19,0,0,0,0,0,0,0,0,0
1592,1,9,1,0,18,5,6,4,11,5,12,2,10,0
1593,1,2,0,1,19,0,0,0,0,0,0,0,0,0
1594,8,9,1,0,19,5,10,2,10,5,5,4,11,0
1595,1,14,1,0,19,5,8,4,12,5,6,4,11,0
1596,1,12,1,0,22,7,9,6,12,8,12,6,12,0
1597,1,15,1,1,18,6,7,6,15,6,7,6,16,1
1598,8,10,1,0,18,6,10,4,12,6,7,5,11,0
1599,8,15,1,0,19,6,6,4,11,6,6,3,11,0
1600,1,2,1,0,18,0,0,0,0,0,0,0,0,1
1601,8,14,1,0,21,6,10,6,12,6,11,4,14,0
1602,1,11,1,0,18,6,12,5,11,6,11,3,10,0
1603,15,4,1,0,19,6,8,6,12,6,11,5,13,1
1604,12,4,0,0,27,6,11,2,11,6,7,0,0,0
1605,17,4,1,0,20,12,16,11,12,10,12,8,11,0
1606,1,11,1,0,20,6,10,4,13,6,6,6,13,1
1607,1,12,1,0,18,8,9,8,12,8,9,8,12,1
1608,8,15,1,0,18,6,6,6,12,6,7,5,13,0
1609,1,5,1,0,18,6,7,6,12,6,7,6,12,1
1610,1,9,1,0,18,5,10,3,10,5,11,2,12,0
1611,7,6,1,0,18,5,11,5,13,5,7,5,12,0
1612,8,12,1,0,18,7,11,6,11,8,12,8,12,1
1613,12,3,0,0,37,5,9,0,0,5,5,0,0,0
1614,12,3,1,1,36,6,6,6,11,6,6,6,11,1
1615,12,6,1,0,26,6,21,3,12,6,15,2,11,0
1616,1,6,1,0,19,5,9,4,13,5,8,4,14,1
1617,12,3,1,0,24,6,8,5,11,6,8,5,11,0
1618,1,15,1,1,19,6,8,6,13,6,6,6,13,0
1619,13,14,1,1,20,7,10,6,12,8,8,5,11,1
1620,9,14,1,0,19,6,8,6,14,6,10,5,14,1
1621,1,6,1,0,21,5,10,3,11,5,5,5,13,1
1622,12,13,0,0,50,7,18,6,10,7,14,4,11,0
1623,12,13,1,0,47,7,16,6,12,7,15,4,11,0
1624,13,16,1,0,24,13,17,10,11,13,18,9,10,0
1625,12,17,0,0,48,5,5,1,10,5,5,0,0,0
1626,1,6,1,1,18,6,7,6,15,6,17,5,12,1
1627,15,17,1,0,32,6,9,4,12,7,7,4,11,0
1628,1,14,0,0,20,5,6,3,12,5,5,4,12,0
1629,12,7,1,0,24,5,11,0,0,5,5,0,0,0
1630,12,8,1,0,53,5,9,4,12,5,8,4,11,1
1631,12,15,0,0,42,4,5,0,0,4,4,0,0,0
1632,12,17,1,0,52,5,5,5,13,5,5,5,14,1
1633,14,3,1,0,54,13,14,13,13,11,12,11,12,0
1634,12,17,1,0,49,5,6,5,12,5,9,5,11,1
1635,8,14,1,1,18,6,7,6,12,6,7,6,13,1
1636,12,8,1,0,37,5,12,3,12,5,8,4,13,1
1637,1,12,1,1,21,7,9,6,13,8,10,7,11,1
1638,12,14,1,0,26,5,5,0,0,5,5,0,0,0
1639,1,5,1,0,20,12,12,11,14,12,12,11,14,1
1640,1,12,1,1,19,7,9,7,12,8,9,8,12,1
1641,1,5,1,0,18,6,7,6,14,6,7,6,14,1
1642,8,12,1,0,18,7,7,7,13,8,9,8,14,1
1643,8,3,1,0,20,6,8,5,12,6,8,6,11,1
1644,8,11,1,0,20,5,5,5,11,6,11,1,11,0
1645,1,2,1,0,21,0,0,0,0,0,0,0,0,0
1646,1,2,1,0,22,12,12,12,12,11,16,11,14,1
1647,14,12,1,1,18,7,8,7,13,8,8,8,14,1
1648,1,12,1,0,18,7,10,7,12,8,15,7,12,0
1649,1,12,1,1,19,8,8,7,14,8,8,7,14,1
1650,1,12,1,0,19,8,8,7,14,8,8,7,14,0
1651,1,12,1,0,18,8,8,7,14,8,8,7,14,1
1652,4,17,1,0,27,5,5,5,15,5,6,5,14,0
1653,1,13,1,1,20,7,7,7,13,8,8,8,15,1
1654,1,16,1,0,20,6,6,6,13,6,6,0,0,0
1655,1,6,1,0,20,5,11,5,12,5,7,5,12,1
1656,1,9,1,0,19,5,6,5,13,5,6,5,13,1
1657,1,6,1,0,20,5,7,4,11,5,9,2,10,0
1658,14,2,1,1,20,0,0,0,0,0,0,0,0,1
1659,1,2,1,0,20,0,0,0,0,0,0,0,0,0
1660,17,6,1,0,27,12,17,11,14,9,10,7,14,1
1661,1,6,1,0,18,6,7,6,16,6,6,6,15,1
1662,1,12,1,0,18,7,10,7,15,8,8,8,15,1
1663,8,12,1,1,18,7,7,7,13,8,8,8,15,1
1664,1,6,1,0,20,5,8,5,14,5,6,4,11,1
1665,1,15,1,0,19,6,7,6,14,6,7,5,15,0
1666,8,10,1,1,20,6,9,6,11,6,6,6,12,1
1667,1,12,1,0,18,8,8,8,13,8,8,8,13,1
1668,15,5,0,0,22,7,9,5,11,9,9,5,10,0
1669,8,3,1,1,22,6,7,4,12,6,8,5,13,1
1670,12,17,1,0,25,5,12,4,12,5,10,4,11,0
1671,1,6,1,0,19,6,13,6,15,6,9,6,14,1
1672,15,8,0,0,21,6,12,5,13,6,10,4,12,0
1673,12,12,1,0,27,7,7,7,14,8,9,8,14,1
1674,8,12,1,0,18,7,7,6,12,7,7,6,12,1
1675,8,11,0,0,18,5,5,5,10,6,13,0,0,0
1676,8,13,1,0,19,7,0,0,0,7,0,0,0,0
1677,12,17,1,1,35,5,10,4,10,5,6,5,12,1
1678,8,6,1,0,23,5,6,4,14,5,6,5,13,1
1679,12,12,1,0,28,7,11,3,11,7,17,0,0,0
1680,1,7,1,0,19,5,10,3,10,5,9,2,14,0
1681,1,15,1,0,19,6,11,4,12,6,10,3,12,0
1682,1,14,1,0,20,5,5,4,12,5,6,5,11,0
1683,1,14,1,0,21,5,7,3,11,5,5,4,12,0
1684,8,5,1,0,18,6,6,6,14,6,8,5,13,1
1685,1,5,1,0,22,6,6,6,14,6,6,6,15,1
1686,8,6,1,0,21,5,11,0,0,5,10,5,12,1
1687,4,13,0,0,38,7,8,3,12,5,5,0,0,0
1688,1,2,1,0,20,0,0,0,0,0,0,0,0,0
1689,14,2,1,0,19,0,0,0,0,0,0,0,0,0
1690,4,7,1,0,24,5,0,0,0,5,0,0,0,0
1691,9,5,0,0,19,6,0,0,0,6,0,0,0,0
1692,1,12,1,1,19,7,7,7,13,8,9,8,14,1
1693,1,9,1,0,19,5,7,5,11,5,8,4,12,0
1694,12,7,1,0,31,5,0,0,0,5,0,0,0,0
1695,8,14,1,1,19,6,6,6,13,6,7,6,13,1
1696,8,5,1,0,22,6,7,5,11,6,6,6,12,1
1697,12,6,1,0,25,5,5,0,0,5,5,0,0,0
1698,1,12,1,0,18,7,7,7,16,8,9,0,0,0
1699,4,12,1,0,30,8,8,0,0,8,8,0,0,0
1700,1,12,1,1,18,8,8,8,15,8,8,8,15,1
1701,1,15,1,0,18,6,6,6,13,6,6,6,14,1
1702,8,15,1,0,18,6,0,0,0,6,0,0,0,0
1703,1,10,1,0,18,6,8,6,12,6,7,6,11,1
1704,12,14,1,1,25,6,8,6,12,6,6,6,13,1
1705,1,7,1,0,18,5,10,2,14,5,7,3,11,0
1706,1,2,1,0,18,0,0,0,0,0,0,0,0,0
1707,1,9,1,0,19,5,5,4,10,5,6,4,12,0
1708,12,13,1,0,25,7,14,4,12,7,11,4,13,0
1709,1,12,1,0,19,7,7,6,12,7,7,6,12,1
1710,15,17,1,0,31,6,12,4,12,7,9,7,12,0
1711,1,12,1,1,20,8,8,8,13,8,8,8,13,1
1712,13,12,0,0,33,7,10,5,12,6,7,5,11,0
1713,15,6,0,0,24,6,11,4,12,6,18,2,11,0
1714,8,10,1,1,18,6,8,6,12,6,10,6,12,1
1715,8,12,1,0,19,8,8,8,13,8,8,8,13,1
1716,1,12,1,1,20,7,10,7,14,8,14,6,13,1
1717,12,12,1,1,33,8,16,1,10,8,16,1,10,0
1718,12,7,1,0,24,5,9,0,0,5,8,2,14,0
1719,12,17,1,0,24,5,7,0,0,5,7,0,0,0
1720,8,6,1,0,18,5,6,5,12,5,8,5,12,1
1721,1,11,1,1,18,6,8,6,10,6,9,5,11,1
1722,16,6,1,0,22,12,19,11,14,12,20,12,15,1
1723,1,15,1,1,18,6,9,6,11,6,11,5,12,1
1724,1,2,1,0,21,17,20,17,12,17,18,17,12,1
1725,12,17,1,0,38,5,11,3,11,5,9,4,12,0
1726,14,10,1,1,29,16,17,16,12,13,14,13,13,1
1727,15,8,1,1,20,6,11,4,12,6,9,4,10,0
1728,8,11,0,0,18,6,0,0,0,6,0,0,0,0
1729,14,17,1,0,37,12,13,12,12,13,13,13,12,1
1730,1,9,1,0,20,5,7,5,11,5,5,5,12,1
1731,1,8,0,0,20,5,7,4,13,5,11,3,12,0
1732,12,7,1,0,40,5,11,3,10,5,5,2,12,0
1733,12,3,1,0,44,11,21,9,12,11,16,9,11,0
1734,1,9,0,0,21,5,7,2,11,5,9,3,11,0
1735,15,5,1,0,21,7,10,6,13,9,9,8,13,1
1736,1,12,1,0,18,8,10,8,13,8,10,8,13,1
1737,1,12,1,0,18,7,10,6,12,8,9,7,13,0
1738,12,4,1,0,27,6,6,6,14,6,7,6,13,1
1739,12,5,0,0,38,6,6,0,0,6,8,0,0,0
1740,9,8,1,0,18,6,11,5,13,6,13,3,12,0
1741,8,11,1,0,19,6,7,5,12,6,12,2,12,0
1742,1,8,1,0,18,6,8,6,13,6,7,5,13,0
1743,14,15,0,0,19,6,10,3,11,6,11,2,10,0
1744,12,14,0,0,44,6,9,1,14,6,6,0,0,0
1745,15,6,1,0,26,6,20,4,12,6,16,3,10,0
1746,14,8,0,0,24,6,11,5,11,6,11,4,11,0
1747,12,4,0,0,27,6,6,0,0,6,8,0,0,0
1748,12,4,0,0,27,6,0,0,0,6,0,0,0,0
1749,14,5,1,0,25,17,18,13,11,15,15,10,12,0
1750,15,4,1,0,21,9,14,7,11,8,15,4,12,0
1751,1,2,1,1,19,0,0,0,0,0,0,0,0,1
1752,8,5,1,0,20,6,7,5,11,6,9,4,12,0
1753,15,7,1,0,20,5,16,0,0,5,12,2,10,0
1754,8,7,0,0,20,5,5,0,0,5,5,0,0,0
1755,1,7,0,1,18,5,5,5,14,5,5,5,14,0
1756,8,2,1,0,19,12,12,10,12,11,16,10,12,0
1757,15,8,0,0,22,6,10,3,12,6,7,0,0,0
1758,1,14,1,0,19,6,7,6,14,6,8,6,15,1
1759,1,12,1,1,18,7,7,7,13,8,9,7,12,1
1760,1,10,1,0,20,6,7,6,12,6,7,6,11,1
1761,8,2,1,1,18,0,0,0,0,0,0,0,0,0
1762,12,15,1,0,36,6,7,6,15,6,6,6,16,1
1763,6,9,1,0,19,5,12,3,10,5,8,4,11,1
1764,17,9,1,1,21,11,11,11,12,9,11,9,12,1
1765,1,9,1,0,26,5,6,0,0,5,0,0,0,0
1766,12,4,0,0,29,9,9,3,14,7,8,1,14,0
1767,15,11,0,0,26,8,14,8,15,6,12,6,13,0
1768,4,12,1,0,27,7,0,0,0,8,0,0,0,0
1769,16,9,1,0,32,7,16,3,12,8,10,3,10,0
1770,7,16,1,1,23,6,10,4,14,6,8,5,12,0
1771,12,9,1,0,24,5,12,2,10,5,9,4,10,0
1772,1,15,1,1,19,6,7,6,13,6,7,6,14,1
1773,13,4,1,0,25,6,14,5,11,6,11,4,12,0
1774,8,11,1,0,19,6,13,5,10,6,12,3,10,0
1775,1,15,0,0,20,4,4,0,0,4,8,0,0,0
1776,1,11,1,0,33,9,11,9,12,7,9,7,11,1
1777,12,17,1,0,35,5,6,5,10,5,7,5,12,0
1778,1,9,1,0,23,5,8,4,11,5,7,4,11,1
1779,1,12,1,0,19,7,7,7,13,8,8,8,14,1
1780,1,14,1,0,21,6,6,5,12,6,9,5,12,0
1781,1,5,1,1,21,6,6,6,13,6,6,6,11,1
1782,12,12,1,0,27,8,8,7,15,8,8,7,15,0
1783,8,9,1,0,19,5,10,4,11,5,13,2,12,0
1784,4,12,1,0,28,7,7,7,14,8,9,8,15,0
1785,14,9,1,0,25,5,12,3,11,5,12,4,11,0
1786,12,10,1,0,42,6,0,0,0,6,0,0,0,0
1787,4,17,1,0,27,5,6,4,13,5,6,4,13,1
1788,1,5,1,0,23,6,9,4,11,6,10,0,0,0
1789,8,11,1,1,18,6,7,6,12,6,8,6,11,1
1790,12,12,1,0,26,8,8,7,13,8,8,7,13,1
1791,1,9,1,0,18,5,0,0,0,5,0,0,0,0
1792,12,17,1,0,29,5,9,3,11,5,11,2,13,0
1793,8,6,1,0,22,6,16,0,0,6,7,0,0,0
1794,14,12,1,0,21,7,12,4,13,7,8,6,12,0
1795,1,12,1,1,19,8,8,7,13,8,8,7,13,1
1796,1,10,1,1,18,6,7,6,12,6,6,6,12,1
1797,1,6,1,1,18,5,8,3,15,5,9,3,11,0
1798,12,4,0,0,40,6,12,5,12,6,16,3,13,0
1799,8,11,0,0,20,6,14,3,12,6,16,0,0,0
1800,1,12,1,0,18,8,15,5,12,8,15,5,12,0
1801,14,3,1,0,31,12,21,12,12,10,13,7,13,1
1802,1,9,1,1,18,5,9,4,11,5,5,5,12,1
1803,14,14,1,0,22,6,6,6,11,6,11,4,11,0
1804,16,9,0,0,38,5,5,0,0,5,5,0,0,0
1805,14,17,1,0,33,5,5,0,0,5,5,0,0,0
1806,1,7,1,1,19,5,10,5,11,5,12,3,11,0
1807,8,14,1,0,18,6,0,0,0,6,0,0,0,0
1808,1,7,0,1,18,5,6,5,12,5,8,4,12,0
1809,16,17,1,0,27,6,6,6,12,5,5,5,13,1
